2026-01-18 15:50:29.069 [main] INFO  com.movielibrary.Main - Avvio dell'applicazione Movie Library...
2026-01-18 15:50:29.085 [main] INFO  c.m.util.ConfigurationManager - File di configurazione 'config.properties' caricato con successo.
2026-01-18 15:50:29.337 [main] INFO  c.m.service.LibraryStorageService - Tentativo di caricamento della libreria da 'movielibrary.ser'...
2026-01-18 15:50:29.337 [main] WARN  c.m.service.LibraryStorageService - File 'movielibrary.ser' non trovato. Verrà creata una nuova libreria.
2026-01-18 15:51:47.657 [pool-1-thread-1] INFO  c.m.service.LibraryStorageService - Tentativo di salvataggio della libreria su 'movielibrary.ser'...
2026-01-18 15:51:47.687 [pool-1-thread-1] INFO  c.m.service.LibraryStorageService - Libreria salvata con successo.
2026-01-18 15:54:14.571 [main] INFO  com.movielibrary.Main - Avvio dell'applicazione Movie Library...
2026-01-18 15:54:14.586 [main] INFO  c.m.util.ConfigurationManager - File di configurazione 'config.properties' caricato con successo.
2026-01-18 15:54:14.842 [main] INFO  c.m.service.LibraryStorageService - Tentativo di caricamento della libreria da 'movielibrary.ser'...
2026-01-18 15:54:14.849 [main] INFO  c.m.service.LibraryStorageService - Libreria caricata con successo.
2026-01-18 15:54:23.984 [pool-1-thread-1] INFO  c.m.service.LibraryStorageService - Tentativo di caricamento della libreria da 'movielibrary.ser'...
2026-01-18 15:54:23.986 [pool-1-thread-1] INFO  c.m.service.LibraryStorageService - Libreria caricata con successo.
2026-01-18 15:54:54.186 [pool-1-thread-1] INFO  com.movielibrary.api.TmdbApiClient - Invio richiesta GET a: https://api.themoviedb.org/3/search/movie?api_key=1d13e48e44280917f5a2e75a0f688d69&query=v+per+vendetta
2026-01-18 15:55:14.195 [pool-1-thread-1] INFO  com.movielibrary.api.TmdbApiClient - Invio richiesta GET a: https://api.themoviedb.org/3/search/movie?api_key=1d13e48e44280917f5a2e75a0f688d69&query=v+per+vendetta
